GT,est
9.9107,11.002676391601563
10.3416,11.080900573730469
10.7725,11.080900573730469
11.2034,11.311334228515626
11.6343,16.12165222167969
11.6343,23.635372924804688
12.0652,23.64623260498047
13.3579,28.66275329589844
13.7888,28.66275329589844
14.2197,28.420193481445313
15.9433,14.12305145263672
16.3742,14.031819152832032
17.236,14.418237304687501
17.6669,14.364297485351564
18.0978,14.325836181640625
18.9596,15.476783752441406
19.8214,26.54993591308594
20.2523,26.92524108886719
20.6832,26.92524108886719
21.9759,3.897036361694336
22.4068,3.897036361694336
54.2934,26.333853149414065
54.7243,19.184983825683595
55.1552,19.991551208496094
56.017,22.861573791503908
56.4479,22.861573791503908
56.8788,30.989215087890628
57.3097,31.264520263671876
57.7406,22.298152160644534
58.1715,29.17068786621094
60.326,9.217118835449218
60.7569,9.314391326904298
61.1878,9.314391326904298
67.2204,31.169497680664065
67.6513,31.310949707031252
69.3749,30.200881958007812
69.8058,30.200881958007812
70.2367,30.227557373046878
70.6676,31.262835693359378
71.0985,31.262835693359378
71.9603,22.176679992675783
72.3912,26.75997314453125
72.8221,31.602178955078127
73.253,31.241455078125
73.6839,30.997784423828126
190.027,15.973568725585938
190.458,18.051608276367187
190.889,18.051608276367187
197.783,16.03899383544922
198.214,16.03899383544922
198.645,16.03899383544922
9.9107,12.418955993652345
10.3416,12.707559967041016
10.7725,12.804403686523438
11.2034,12.628828430175782
12.0652,13.089028930664064
12.927,11.564350128173828
13.3579,11.852841949462892
13.7888,12.581951141357422
14.2197,12.581951141357422
15.0815,15.471597290039064
15.5124,15.445962524414064
18.5287,25.959722900390627
18.9596,18.07367858886719
19.8214,26.92524108886719
20.2523,26.92524108886719
20.6832,26.92524108886719
24.9922,20.29620819091797
24.9922,21.99781951904297
25.4231,20.29620819091797
25.854,15.354043579101564
26.2849,14.526968383789063
26.7158,14.256549072265626
54.2934,20.35541534423828
54.7243,20.35541534423828
55.1552,22.981256103515626
55.5861,22.981256103515626
56.8788,31.011428833007812
57.3097,31.11464538574219
61.1878,14.838929748535158
71.0985,31.188653564453126
71.9603,26.75997314453125
72.3912,26.75997314453125
72.8221,31.241455078125
73.253,31.241455078125
189.596,26.889837646484377
190.027,24.11544647216797
190.458,22.279319763183594
190.889,22.56367340087891
191.32,25.772039794921877
9.9107,11.124228668212892
10.3416,11.409931945800782
10.7725,11.409931945800782
11.2034,10.787113189697266
12.927,12.16585922241211
13.3579,11.36173553466797
13.7888,11.223295593261719
14.2197,11.291407012939453
15.0815,15.465255737304688
15.5124,15.521632385253907
15.9433,16.776820373535156
16.3742,14.137448120117188
16.8051,25.54462585449219
18.0978,24.57235107421875
18.5287,17.504588317871093
18.5287,24.57235107421875
18.9596,18.904600524902346
19.3905,19.112960815429688
19.8214,26.264663696289062
20.2523,26.068032836914064
20.6832,26.068032836914064
24.9922,21.861164855957032
25.4231,21.312243652343753
53.8625,24.63412017822266
54.2934,24.978167724609378
54.7243,20.9815673828125
55.1552,20.9815673828125
55.5861,20.35541534423828
56.017,28.706130981445312
56.4479,27.475320434570314
56.4479,28.706130981445312
56.8788,31.264520263671876
57.3097,30.542767333984376
59.4642,16.58418884277344
59.8951,31.178686523437502
72.3912,28.683047485351565
72.8221,30.301199340820315
73.253,30.43116455078125
189.596,26.751113891601562
190.027,20.397525024414065
190.889,19.173582458496096
191.32,23.97292633056641
9.9107,11.124228668212892
10.3416,11.20483856201172
10.7725,11.20483856201172
11.2034,10.991121673583985
11.6343,11.074691772460938
15.0815,15.643644714355469
15.5124,15.643644714355469
15.9433,19.046498107910157
16.3742,14.264169311523439
16.8051,14.264169311523439
18.9596,20.125825500488283
19.3905,18.602183532714843
19.8214,18.602183532714843
20.2523,25.21461639404297
20.6832,25.21461639404297
21.1141,25.21461639404297
23.6995,14.21412353515625
54.7243,24.281726074218753
55.1552,20.9815673828125
55.5861,20.9815673828125
56.017,20.9815673828125
56.4479,31.086016845703128
56.8788,30.989215087890628
57.3097,31.236941528320315
72.8221,31.241455078125
73.253,31.241455078125
191.751,18.176715087890624
191.751,20.292356872558596
9.9107,10.432932281494141
10.3416,10.674989318847658
10.7725,10.750152587890625
11.2034,10.750152587890625
11.6343,10.750152587890625
12.0652,13.086805725097657
12.4961,13.095220947265625
12.927,13.087373352050783
13.3579,31.382354736328125
13.7888,31.447738647460938
14.2197,31.402685546875002
14.6506,31.421051025390625
15.0815,18.435630798339844
15.5124,19.046498107910157
16.3742,14.137448120117188
16.8051,14.137448120117188
18.9596,14.557879638671876
19.3905,15.476783752441406
19.8214,26.264663696289062
20.2523,25.198916625976565
20.6832,26.759082031250003
21.1141,26.759082031250003
22.8377,19.329002380371094
23.2686,4.505289459228516
23.6995,4.482511901855469
25.4231,4.279701232910156
25.854,4.2535865783691404
54.7243,18.291423034667968
55.1552,20.307118225097657
55.5861,21.229258728027347
56.017,31.45723876953125
56.4479,31.45743103027344
57.3097,27.7012939453125
57.7406,27.7012939453125
71.9603,26.03946228027344
72.3912,28.683047485351565
72.8221,31.665631103515626
73.253,31.665631103515626
189.596,18.565470886230468
190.027,18.565470886230468
190.458,19.13751220703125
190.889,19.13751220703125
192.181,18.176715087890624
9.9107,10.711815643310548
10.3416,10.991121673583985
10.7725,10.991121673583985
11.2034,10.991121673583985
11.6343,11.037220001220703
12.0652,13.103843688964844
12.4961,13.100811767578126
12.927,31.23763427734375
13.3579,31.23763427734375
15.0815,18.261750793457033
15.0815,15.723139953613282
15.5124,18.075299072265626
16.3742,14.150485229492189
16.8051,27.08802490234375
17.236,14.264413452148439
17.6669,14.321237182617189
18.0978,14.307710266113283
18.9596,18.420574951171876
19.3905,16.974714660644533
19.8214,26.264663696289062
20.2523,26.068032836914064
20.6832,26.068032836914064
21.9759,4.065389633178711
22.4068,4.208906936645508
22.8377,4.234685516357422
23.6995,21.897666931152344
24.1304,22.049966430664064
24.5613,23.168994140625003
24.9922,26.868280029296876
25.4231,26.509353637695312
54.7243,21.229258728027347
55.1552,21.229258728027347
55.5861,21.229258728027347
56.017,31.3225341796875
56.4479,31.3225341796875
56.8788,26.34920349121094
57.3097,25.397952270507815
57.7406,25.397952270507815
59.4642,28.77100830078125
59.8951,28.588607788085938
67.2204,31.388677978515627
72.3912,30.997784423828126
72.8221,31.48488464355469
73.253,31.596377563476565
74.1148,31.602178955078127
190.027,23.011004638671878
190.458,23.011004638671878
190.889,23.011004638671878
198.214,17.77270050048828
