GT,est
14.2618911958583,17.139053344726562
24.1236088251841,17.756207275390626
22.0092509989163,17.756207275390626
12.4376036490792,17.032220458984376
19.2868886975168,17.804615783691407
13.0445389963157,16.950193786621096
17.6798746392077,18.018653869628906
13.1741998367568,16.950193786621096
11.8506855775056,16.9883056640625
23.2537639173296,17.95777130126953
12.5258899827198,17.338299560546876
13.3147954107301,17.338299560546876
42.3539459599233,20.035279846191408
42.4910277614804,20.035279846191408
30.92553052451,27.779434204101562
30.3916371205781,27.779434204101562
29.4840945645207,28.982916259765627
30.21810217101,29.530249023437502
29.8975463362531,29.20771179199219
28.6663148412575,26.864898681640625
27.9190632961853,26.708450317382812
41.0900269487622,29.311773681640627
40.2069686400554,29.838116455078126
44.8510630880206,28.492486572265626
47.1416025634471,27.044967651367188
47.5541308309636,25.677639770507813
47.4111886862426,25.677639770507813
47.1808736383389,25.649929809570313
22.0631386044753,12.891860961914062
28.5444571477625,13.738685607910156
29.4838599467641,14.689704895019531
27.4816816093917,16.131686401367187
27.7587564202091,17.364002990722657
22.7521616835434,17.399417114257812
15.6852736606156,17.5715576171875
17.1617986496171,17.5715576171875
42.5827071910758,19.964846801757815
43.1310594557669,20.3838623046875
43.3376815405497,20.199389648437503
30.3673181445119,28.982916259765627
29.8521068070982,28.982916259765627
31.4973230746297,29.48526306152344
27.2449674778224,28.980914306640628
31.6491534471635,29.611975097656252
31.3716628017133,28.104522705078125
27.6883884903419,26.864898681640625
24.0790985763587,26.100808715820314
36.2523803414672,29.08560485839844
37.6578087690986,28.904647827148438
38.9053755885032,28.865139770507813
38.4676278730688,28.865139770507813
46.074256232738,27.352410888671876
46.8631332662851,27.352410888671876
46.6193137298534,25.677639770507813
45.9520092461353,25.677639770507813
46.5008810825128,25.649929809570313
22.36203258193,17.479568481445312
23.0117001795261,17.477383422851563
17.3862242365989,17.476004028320315
16.0926111259951,4.1540882110595705
13.0078156709918,17.349766540527344
42.9066318064574,21.374681091308595
43.601404731693,20.523388671875
43.2183258625505,20.035279846191408
29.823674123461,27.779434204101562
31.3735494783249,27.779434204101562
31.0305436406712,27.779434204101562
31.4345937865976,29.219097900390626
38.1277461292705,28.988696289062503
38.1802322185303,28.279495239257812
38.8412998093576,28.279495239257812
45.5955519774199,28.492486572265626
45.1841879344987,28.492486572265626
45.3969098920411,28.492486572265626
46.0655063036281,28.155621337890626
46.7911271016034,27.352410888671876
47.8944243351395,27.044967651367188
29.8372568964541,17.38434600830078
24.3322935062542,17.38434600830078
21.4199526217963,17.842344665527346
20.9218521364625,17.816709899902346
17.4396143949028,17.82302703857422
44.1601736396767,19.966287231445314
43.8980685904392,19.701087951660156
43.0461083052452,20.035279846191408
29.6414915470005,29.3682861328125
30.5908380681275,29.3682861328125
30.8247109778648,27.779434204101562
29.8970272541535,27.779434204101562
32.4073448177971,28.104522705078125
32.7647101495939,28.104522705078125
36.5729514718856,29.08517761230469
37.794481246051,28.926074218750003
38.3492449060943,28.988696289062503
45.0910797835326,28.887377929687503
45.6347336866734,28.887377929687503
46.2285286325836,27.352410888671876
45.6588948118371,27.352410888671876
47.265932577221,27.044967651367188
30.8494935611284,17.396665954589846
29.3989694655476,17.40276336669922
25.0664930880409,17.40276336669922
20.0612204114331,17.821272277832033
16.0652557417708,17.265722656250002
13.5502472468992,16.882672119140626
42.422634404742,20.66488189697266
42.3813401199349,20.035279846191408
29.0864508253602,27.60817565917969
30.050726515384,27.60817565917969
30.2022558115929,27.60817565917969
32.0632957851872,29.058203125000002
45.2395865078363,27.352410888671876
45.7076159904846,27.352410888671876
46.1875309216947,25.677639770507813
47.823463250552,25.649929809570313
93.8001220419382,29.528152465820312
94.7393234381062,29.151284790039064
100.721244086218,27.947088623046877
101.056273796942,27.947088623046877
26.4097654885934,17.27022399902344
26.2507270103534,17.27022399902344
15.4313983502501,17.86174774169922
19.3280458857614,17.45059051513672
21.7387770408112,17.273968505859376
12.9964462349713,18.266551208496093
14.5516099171363,16.99032440185547
16.3235110779636,17.850088500976565
14.2151656118844,27.905093383789065
20.2658022981475,16.9883056640625
16.3051996174503,17.850088500976565
17.918123194802,16.920521545410157
14.3804551434543,16.920521545410157
14.3080683451576,17.35041198730469
41.6160970170306,19.309741210937503
42.3781422460553,20.035279846191408
30.4410891935555,28.982916259765627
30.0479755721147,29.20771179199219
31.9542130428352,28.104522705078125
33.2233013859911,28.024746704101563
45.1177013996103,28.155621337890626
45.2116978000926,28.155621337890626
